state,year,total_households,median_income_household,median_income_family,median_income_married,median_income_nonfamily,mean_income_household,mean_income_family,mean_income_married,mean_income_nonfamily
VIRGINIA,2013,3022739,63907,76754,91501,39685,87094,100723,116195,55649
WASHINGTON,2013,2629126,59478,72168,83726,37326,77827,90849,103269,50635
WEST VIRGINIA,2013,741390,41043,52165,60750,22109,55308,66206,75054,32946
WISCONSIN,2013,2288332,52413,66534,76824,30738,67448,81039,92185,40660
WYOMING,2013,222846,57406,70868,80260,32597,71081,83142,92376,44442
ALABAMA,2014,1842174,43511,54724,68721,24650,60205,71423,85513,35361
ALASKA,2014,251678,71829,83714,97380,44885,88583,100099,114334,59869
ARIZONA,2014,2387246,49928,59088,70933,32459,67557,77415,90011,45348
ARKANSAS,2014,1132488,41264,51464,61974,23520,56824,66972,78339,34066
CALIFORNIA,2014,12617280,61489,70187,85968,40639,86704,96357,113060,60326
COLORADO,2014,1998314,59448,73817,85888,37046,79990,94432,107394,51166
CONNECTICUT,2014,1356206,69899,88217,105904,39584,99110,119176,140350,56295
DELAWARE,2014,339046,60231,72683,87011,36747,78589,90884,106025,49685
FLORIDA,2014,7217508,47212,57176,68782,30319,67143,78507,91706,43903
GEORGIA,2014,3540690,49342,59068,74017,30623,68317,78856,94684,43375
HAWAII,2014,450299,68201,80371,90047,41196,85972,96857,107403,54476
IDAHO,2014,585259,47334,56922,64066,26921,61544,71149,78916,37045
ILLINOIS,2014,4778633,57166,70967,85287,34050,78521,92664,108555,49026
INDIANA,2014,2492183,48737,60440,71627,28641,63736,75012,87087,38734
IOWA,2014,1232228,52716,66829,76255,29996,67621,81424,91551,39933
KANSAS,2014,1112335,51872,65804,76277,30021,69271,83035,94363,40490
KENTUCKY,2014,1702235,43342,54928,66385,24435,59312,70337,82027,35145
LOUISIANA,2014,1718876,44991,56755,75308,25757,63565,75064,92745,38576
MAINE,2014,553086,48804,61824,71282,27714,64327,76851,87008,39891
MARYLAND,2014,2155983,74149,89416,108757,46090,97135,112955,133213,60380
MASSACHUSETTS,2014,2538485,67846,86132,104231,39227,92850,111411,131221,56995
MICHIGAN,2014,3827880,49087,61684,74199,28923,65790,78408,91781,39704
MINNESOTA,2014,2115337,60828,76190,87135,35157,79106,94560,106978,47418
MISSISSIPPI,2014,1092627,39464,49125,63949,21748,54881,64194,79402,32232
MISSOURI,2014,2361232,47764,60414,71613,28051,64703,77368,89450,38891
MONTANA,2014,407797,46766,60581,68505,27657,62086,75070,83975,38125
NEBRASKA,2014,731347,52400,66188,76521,30483,68081,81503,92350,40406
NEVADA,2014,1005958,52205,61081,72566,35054,69351,78301,90535,49233
NEW HAMPSHIRE,2014,519580,65986,80812,91617,37473,84480,98683,110691,51692
NEW JERSEY,2014,3188498,72062,87999,106425,40065,98286,114618,134079,57421
NEW MEXICO,2014,764684,44968,54801,68452,28122,62136,71580,85235,41322
NEW YORK,2014,7255528,58687,71419,89448,36679,85736,99640,120033,57567
NORTH CAROLINA,2014,3742514,46693,57328,71000,28643,64555,75892,90134,39938
NORTH DAKOTA,2014,292616,55579,72770,82236,32577,73272,90140,100467,44346
OHIO,2014,4570015,48849,62104,75214,28537,65491,78539,92493,39499
OKLAHOMA,2014,1450117,46235,57299,68248,27093,62871,73941,85809,38395
OREGON,2014,1522988,50521,61890,72497,31435,67671,79373,90754,44095
PENNSYLVANIA,2014,4957736,53115,67521,80207,30032,72210,86912,100640,42808
RHODE ISLAND,2014,409569,56423,73217,90154,32619,76618,92281,110244,47373
SOUTH CAROLINA,2014,1795715,45033,55506,69710,26593,61196,71602,86082,37884
SOUTH DAKOTA,2014,327101,50338,64636,74796,29688,65425,78762,89756,38804
TENNESSEE,2014,2487349,44621,55459,67324,26489,62344,73630,86519,37742
TEXAS,2014,9013582,52576,61958,76626,33011,73913,83936,99169,47642
UTAH,2014,896194,59846,67612,75007,33595,75204,83673,91587,45729
VERMONT,2014,257252,54447,68787,79099,32292,70524,85013,96127,43328
VIRGINIA,2014,3041710,64792,77939,93019,39930,88413,102254,118060,56613
WASHINGTON,2014,2645396,60294,73039,84765,37640,79195,92527,105180,51493
WEST VIRGINIA,2014,742359,41576,52875,62061,22590,55976,67024,76189,33501
