state,year,population_16_plus,in_labor_force_16_plus,employed_16_plus,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_16_19,unemployment_rate_age_20_24,unemployment_rate_age_25_44,unemployment_rate_age_45_54,unemployment_rate_age_55_64,unemployment_rate_age_65_74,unemployment_rate_age_75_plus,unemployment_rate_white,unemployment_rate_black,unemployment_rate_native_american,unemployment_rate_asian,unemployment_rate_pacific_islander,unemployment_rate_other_race,unemployment_rate_two_or_more_races,unemployment_rate_hispanic,unemployment_rate_white_non_hispanic
IOWA,2015,2447401.0,67.7,64.3,4.9,4.4,4.4,15.3,8.4,5.2,4.6,3.8,3.7,3.0,2.9,2.7,4.5,14.2,11.0,5.3,13.6,7.9,10.6
KANSAS,2015,2247842.0,67.0,62.3,5.9,5.0,5.4,18.7,9.8,6.7,5.6,4.6,4.4,4.1,3.2,2.5,5.2,12.8,13.3,7.1,17.1,8.5,11.9
KENTUCKY,2015,3493098.0,59.6,54.1,8.4,7.9,7.9,23.9,14.0,10.8,8.8,7.2,5.7,4.8,3.6,3.9,7.9,14.1,15.5,5.8,6.4,8.0,13.8
LOUISIANA,2015,3634163.0,60.8,55.5,8.1,5.8,7.6,26.9,15.1,9.8,8.3,6.3,5.3,4.9,3.8,3.2,6.0,13.0,8.2,5.3,10.9,5.3,11.9
MAINE,2015,1098075.0,63.6,59.1,6.8,6.6,6.4,18.6,11.7,9.0,6.8,5.7,5.2,4.7,4.3,4.1,6.6,17.5,16.0,4.2,6.0,9.8,14.2
MARYLAND,2015,4737405.0,68.4,62.8,7.4,5.5,6.9,23.1,14.2,8.5,7.4,5.9,5.3,5.3,4.8,5.1,5.6,11.3,8.9,5.2,3.6,7.2,10.0
MASSACHUSETTS,2015,5479502.0,67.5,62.3,7.6,6.5,7.0,21.1,12.0,8.0,6.8,6.3,6.1,5.8,5.5,5.1,6.8,12.8,17.1,7.0,6.0,13.1,10.7
MICHIGAN,2015,7925988.0,61.3,55.2,9.8,8.0,9.1,26.8,15.6,11.4,9.8,8.3,7.3,6.8,6.1,5.4,8.1,20.7,14.3,6.2,6.3,12.8,16.6
MINNESOTA,2015,4281141.0,70.0,66.0,5.6,4.7,5.1,16.1,9.2,6.0,5.2,4.3,4.3,4.3,3.6,3.5,4.8,14.7,16.3,6.4,5.4,9.4,11.5
MISSISSIPPI,2015,2333154.0,58.0,51.6,10.3,7.1,9.6,35.0,20.6,13.2,10.2,8.1,6.2,5.7,4.0,5.4,7.1,15.9,17.7,6.7,4.8,8.3,12.4
MISSOURI,2015,4803676.0,63.6,58.5,7.5,6.3,6.9,21.5,12.3,8.5,7.4,6.0,5.6,5.3,4.1,4.3,6.3,15.7,11.9,4.3,10.4,8.5,12.1
MONTANA,2015,814661.0,64.0,59.6,6.2,5.5,5.9,17.3,11.4,6.8,5.8,4.6,4.9,4.9,2.8,3.8,5.5,6.2,19.3,3.7,7.2,7.0,10.0
NEBRASKA,2015,1454157.0,70.2,66.6,4.7,3.8,4.1,16.4,8.1,5.4,3.7,3.7,3.3,2.8,2.3,1.9,4.1,11.2,17.5,4.7,5.9,8.7,8.8
NEVADA,2015,2210559.0,64.4,57.3,10.5,9.5,9.9,28.6,15.4,10.2,9.7,8.9,8.8,9.3,9.0,12.4,9.9,16.3,17.3,8.1,12.3,10.4,13.4
NEW HAMPSHIRE,2015,1087512.0,68.3,64.3,5.8,5.6,5.1,18.6,10.2,6.6,5.2,4.0,4.4,4.0,4.3,3.3,5.6,9.6,9.0,5.1,9.4,9.2,10.0
NEW JERSEY,2015,7120154.0,66.0,60.1,8.8,7.4,8.3,25.4,15.4,10.0,8.5,7.2,6.9,6.7,7.7,6.4,7.7,15.3,13.4,6.0,8.6,10.2,13.4
NEW MEXICO,2015,1633310.0,59.6,53.6,9.2,6.4,8.4,30.0,15.3,10.9,8.1,7.8,6.7,5.0,6.0,4.6,8.1,12.3,17.3,6.5,1.4,10.6,11.5
NEW YORK,2015,15921937.0,63.5,58.1,8.2,6.4,7.7,26.1,15.1,9.5,7.7,6.4,6.2,5.9,5.9,5.7,6.7,13.6,13.7,6.8,11.1,11.2,11.2
NORTH CAROLINA,2015,7812594.0,62.8,56.0,9.4,7.5,8.7,29.8,16.9,11.1,8.7,7.3,6.9,6.3,5.5,4.6,7.6,15.3,11.8,6.1,10.8,9.4,14.0
NORTH DAKOTA,2015,575611.0,70.3,67.4,2.9,2.4,2.6,8.9,4.5,3.5,2.3,2.2,2.0,1.7,2.2,2.4,2.5,5.1,10.9,2.5,9.3,3.7,4.9
OHIO,2015,9229397.0,63.4,58.1,8.2,6.8,7.5,24.7,13.7,9.2,8.2,6.7,6.0,5.4,4.4,3.2,6.8,17.4,15.3,4.9,10.1,10.6,15.6
OKLAHOMA,2015,3003180.0,61.7,57.3,6.3,5.3,5.8,20.5,10.9,7.3,6.0,4.9,4.7,3.6,3.4,2.7,5.4,11.3,9.2,4.8,6.8,6.0,10.0
OREGON,2015,3177669.0,62.2,56.3,9.3,8.9,8.7,28.0,15.0,10.2,8.9,7.5,7.7,7.0,5.8,5.4,9.0,16.2,16.5,6.4,11.8,11.1,14.3
PENNSYLVANIA,2015,10384811.0,62.8,57.8,7.9,6.4,7.3,23.2,14.3,9.4,7.6,6.5,5.7,5.2,5.3,4.5,6.7,16.7,18.3,6.6,14.5,15.1,14.7
RHODE ISLAND,2015,865174.0,65.8,59.9,8.5,7.2,7.8,25.0,12.4,9.6,8.1,7.6,6.2,6.0,6.0,8.9,7.5,12.4,15.5,7.0,32.6,17.6,14.7
SOUTH CAROLINA,2015,3816548.0,60.9,54.4,9.5,7.3,8.9,28.7,17.1,11.0,9.0,7.5,7.1,6.5,5.2,4.2,7.3,15.3,14.7,7.1,6.3,6.6,13.6
SOUTH DAKOTA,2015,657804.0,69.0,65.5,4.5,2.9,4.2,12.9,8.3,5.6,4.5,3.6,3.3,2.5,1.8,1.7,3.0,7.9,23.2,7.1,0.0,6.6,12.4
TENNESSEE,2015,5174955.0,61.3,55.8,8.4,7.3,7.9,25.0,14.8,10.0,8.1,6.7,6.2,5.6,4.9,5.1,7.3,14.2,10.5,5.1,6.6,6.6,12.1
TEXAS,2015,20241168.0,64.7,59.8,7.0,5.5,6.4,23.4,12.3,7.7,6.5,5.2,5.0,5.0,4.5,4.0,6.2,11.7,9.7,5.0,12.2,7.7,9.8
UTAH,2015,2096916.0,67.9,63.8,5.8,5.2,5.0,18.0,7.9,5.8,5.2,4.2,3.9,4.1,3.0,2.7,5.5,10.4,12.4,5.2,9.8,7.0,10.2
VERMONT,2015,519139.0,66.7,62.9,5.5,5.3,5.2,14.9,11.8,6.8,5.8,3.9,3.8,3.2,2.5,3.5,5.3,10.0,8.9,6.2,12.1,3.0,13.1
VIRGINIA,2015,6598956.0,66.3,60.5,6.5,5.1,6.0,22.4,12.9,7.7,6.1,4.9,4.5,4.2,3.5,3.6,5.3,11.2,8.2,4.9,7.7,6.6,9.0
WASHINGTON,2015,5568640.0,64.4,58.5,7.9,7.2,7.3,25.9,13.9,8.7,7.3,6.1,5.9,5.5,5.2,4.7,7.4,12.2,13.6,6.4,12.8,10.4,11.5
WEST VIRGINIA,2015,1512183.0,53.9,49.7,7.8,7.6,7.3,25.4,13.4,10.7,8.2,6.5,5.5,4.6,3.5,3.1,7.6,11.6,13.5,5.2,14.0,9.0,14.0
WISCONSIN,2015,4583931.0,67.2,62.9,6.3,5.3,5.9,16.0,10.6,6.9,6.4,5.1,4.8,4.4,4.0,3.6,5.4,18.0,13.6,6.3,8.9,8.5,12.8
WYOMING,2015,456640.0,68.2,64.4,4.9,4.3,4.5,14.6,7.9,5.8,4.6,4.2,3.4,3.0,2.9,2.9,4.4,11.1,15.8,5.5,7.1,3.7,12.1
ALABAMA,2016,3864302.0,57.9,52.8,8.3,6.5,7.8,26.3,16.0,10.4,8.9,6.3,5.5,4.6,3.9,3.8,6.5,13.1,12.1,4.1,24.2,6.9,13.5
ALASKA,2016,568732.0,70.4,62.2,7.8,5.7,7.3,22.2,13.4,8.0,6.4,6.1,6.7,6.3,5.6,3.8,5.6,10.2,20.0,4.8,12.4,7.9,12.2
ARIZONA,2016,5290839.0,59.5,54.4,8.0,6.6,7.3,24.7,12.8,8.5,7.3,6.0,5.9,6.4,5.8,5.1,7.1,11.2,18.9,5.3,10.0,9.9,11.7
ARKANSAS,2016,2339307.0,58.3,54.1,6.9,5.8,6.3,22.7,12.5,8.2,7.1,5.6,4.6,3.6,3.0,3.5,5.8,12.9,9.4,4.4,8.4,5.0,9.8
CALIFORNIA,2016,30565746.0,63.4,57.5,8.7,7.3,8.2,29.6,14.7,9.6,7.8,6.9,6.7,6.8,5.9,5.7,8.2,15.0,13.8,6.5,11.6,10.1,11.6
COLORADO,2016,4245559.0,68.2,63.4,6.0,5.2,5.4,20.6,10.4,6.0,5.3,4.2,4.6,4.7,4.5,4.0,5.5,10.9,11.7,4.0,10.5,8.5,9.9
CONNECTICUT,2016,2911925.0,67.2,61.6,8.0,6.3,7.4,23.1,12.9,8.9,8.2,6.7,6.2,5.8,5.5,5.1,6.7,14.6,14.1,6.1,11.3,12.6,14.1
DELAWARE,2016,753039.0,63.1,58.2,7.1,6.3,6.7,21.0,13.1,8.3,6.7,5.6,5.6,4.9,4.7,5.7,6.4,9.5,11.9,4.4,9.5,8.4,11.7
FLORIDA,2016,16339299.0,58.8,53.6,8.4,7.1,7.9,26.0,14.0,9.5,8.2,6.8,6.7,6.6,5.9,5.8,7.2,13.7,13.8,5.7,12.1,9.1,11.1
GEORGIA,2016,7882965.0,62.9,56.9,8.5,6.3,7.9,27.5,16.1,9.8,8.3,6.6,6.0,5.9,5.0,3.7,6.4,13.1,10.7,4.8,5.7,6.8,12.7
HAWAII,2016,1137804.0,65.2,58.4,5.5,5.4,5.2,20.9,9.7,5.9,5.7,4.9,3.9,3.9,3.1,2.2,5.3,9.3,9.4,3.5,10.7,8.0,7.0
IDAHO,2016,1251275.0,62.6,58.4,6.2,5.7,5.4,21.2,10.2,7.0,4.9,4.3,4.4,4.0,4.7,4.8,5.9,14.0,15.4,5.6,4.1,7.3,13.9
ILLINOIS,2016,10206768.0,65.6,60.1,8.2,6.0,7.6,26.1,13.9,8.7,7.3,6.7,6.2,6.1,4.6,4.4,6.4,18.6,10.4,5.9,8.9,9.3,12.4
INDIANA,2016,5185793.0,64.0,59.5,6.9,5.9,6.4,20.2,12.1,8.1,6.8,5.7,5.0,4.1,3.8,3.2,6.0,15.3,11.4,5.2,9.0,7.7,11.9
IOWA,2016,2459591.0,67.7,64.5,4.5,4.0,4.1,13.8,7.5,4.9,4.2,3.6,3.4,2.8,2.6,2.3,4.2,11.5,10.7,5.2,9.7,8.1,8.9
KANSAS,2016,2255916.0,66.7,62.5,5.3,4.5,4.8,17.4,8.7,5.9,4.7,4.2,4.0,3.6,2.9,1.9,4.7,10.9,11.8,5.6,11.7,7.3,10.4
KENTUCKY,2016,3511065.0,59.4,54.5,7.6,7.1,7.0,22.5,12.6,9.4,7.9,6.5,5.0,4.1,3.1,3.6,7.1,12.1,12.5,4.8,5.4,7.8,13.5
LOUISIANA,2016,3654913.0,60.4,55.4,7.7,5.5,7.2,25.4,14.1,9.5,8.0,5.9,5.1,4.9,3.2,3.2,5.6,12.2,8.1,5.1,12.9,5.7,11.0
MAINE,2016,1101688.0,63.2,59.2,6.0,5.8,5.6,17.4,10.9,7.9,5.7,5.0,4.3,4.0,3.9,4.7,5.8,15.1,12.1,4.1,5.2,8.2,13.7
MARYLAND,2016,4764901.0,68.2,63.1,6.7,5.0,6.3,21.3,13.1,7.9,6.4,5.2,4.9,4.7,4.2,4.4,5.1,10.2,7.2,4.7,2.2,6.3,9.2
MASSACHUSETTS,2016,5522235.0,67.5,62.8,6.8,5.8,6.3,19.2,11.1,7.2,5.8,5.6,5.4,5.1,4.8,4.1,6.1,11.6,14.3,6.2,5.4,11.9,9.2
MICHIGAN,2016,7953581.0,61.2,55.9,8.5,6.8,7.9,23.9,14.0,9.9,8.3,7.0,6.2,5.6,4.9,4.7,6.9,18.2,12.5,5.7,6.1,10.6,14.7
MINNESOTA,2016,4311636.0,69.9,66.4,4.8,4.0,4.4,14.2,8.1,5.4,4.5,3.8,3.4,3.8,3.0,2.7,4.1,12.9,14.8,5.6,4.8,8.4,10.1
MISSISSIPPI,2016,2338750.0,57.8,51.9,9.6,6.5,9.0,32.6,18.6,12.5,9.6,7.8,5.9,5.2,3.4,4.1,6.5,14.8,17.6,5.9,3.4,6.4,15.0
MISSOURI,2016,4823223.0,63.3,58.8,6.6,5.6,6.2,18.8,10.9,7.8,6.6,5.3,5.0,4.6,3.3,3.7,5.6,13.8,10.0,3.8,8.3,7.5,10.5
MONTANA,2016,822530.0,63.7,59.7,5.6,4.9,5.4,15.4,9.9,6.0,5.4,4.4,4.4,4.5,2.5,4.3,5.0,7.0,16.3,2.5,9.9,8.3,10.1
NEBRASKA,2016,1463872.0,70.0,66.8,4.2,3.3,3.7,14.7,7.3,4.7,3.2,3.4,2.9,2.5,2.0,1.6,3.7,9.6,16.6,4.7,9.0,7.3,8.6
NEVADA,2016,2248477.0,64.2,57.9,9.3,8.4,8.8,25.0,14.0,10.1,8.2,7.7,7.8,8.1,7.8,9.5,8.6,15.0,15.6,7.0,10.8,9.4,12.1
NEW HAMPSHIRE,2016,1094783.0,68.2,64.6,5.1,4.9,4.5,16.1,9.3,5.6,4.8,3.4,3.9,3.5,3.8,3.4,5.0,9.2,5.0,4.4,9.8,6.3,9.1
NEW JERSEY,2016,7143654.0,65.8,60.5,7.9,6.6,7.4,23.2,14.2,8.9,7.7,6.4,6.1,5.9,6.5,5.9,6.8,13.9,14.5,5.6,13.3,9.0,11.7
NEW MEXICO,2016,1637594.0,59.0,53.5,8.5,6.1,7.8,27.7,14.3,10.2,7.7,7.1,6.0,4.5,4.9,5.2,7.4,11.0,16.9,5.9,1.4,9.2,9.6
NEW YORK,2016,15964950.0,63.4,58.5,7.5,5.8,7.1,24.2,14.2,8.6,7.0,5.9,5.6,5.4,5.2,4.9,6.1,12.5,14.1,6.2,7.8,10.2,10.4
NORTH CAROLINA,2016,7907915.0,62.6,56.4,8.3,6.6,7.7,27.2,15.2,9.9,7.7,6.5,6.0,5.7,4.6,4.1,6.7,13.5,11.3,5.9,11.6,7.9,12.9
NORTH DAKOTA,2016,585370.0,70.5,67.6,2.8,2.4,2.5,8.9,4.3,3.1,2.1,2.1,2.2,1.6,1.9,2.4,2.4,5.6,10.3,1.5,6.4,4.1,4.3
OHIO,2016,9255859.0,63.3,58.6,7.2,5.9,6.6,22.2,12.5,8.3,7.2,6.0,5.2,4.7,3.8,3.0,6.0,15.8,14.5,4.3,10.3,10.4,13.6
OKLAHOMA,2016,3025259.0,61.5,57.3,6.0,5.0,5.5,18.9,10.5,6.9,5.7,4.8,4.3,3.6,3.0,2.7,5.1,10.8,8.6,4.7,9.0,5.6,8.8
OREGON,2016,3219754.0,62.0,56.9,8.1,7.6,7.5,24.9,13.4,8.9,7.5,6.3,6.6,6.2,5.0,3.9,7.7,15.1,14.5,5.8,10.4,9.3,12.8
PENNSYLVANIA,2016,10402780.0,62.6,58.1,7.2,5.8,6.7,21.8,13.3,8.5,6.9,5.9,5.1,4.8,4.4,4.0,6.0,15.2,16.1,6.0,13.1,13.9,13.3
RHODE ISLAND,2016,868361.0,65.3,59.9,7.7,6.6,7.1,21.6,11.4,8.8,7.8,6.9,5.6,5.5,5.4,8.8,6.9,12.2,14.6,6.1,0.0,13.4,13.4
SOUTH CAROLINA,2016,3871553.0,60.8,55.0,8.4,6.4,7.8,26.1,15.8,9.7,7.8,6.4,6.1,5.8,4.3,4.0,6.4,13.5,11.8,5.8,4.2,6.5,11.6
SOUTH DAKOTA,2016,663635.0,68.7,65.5,4.1,2.6,3.8,12.7,7.7,4.8,4.1,3.3,2.9,2.3,1.6,1.9,2.7,4.7,22.6,7.5,0.0,5.3,9.7
TENNESSEE,2016,5222438.0,61.1,56.2,7.5,6.4,7.0,22.4,13.4,9.2,7.0,6.1,5.4,4.8,4.3,3.9,6.4,12.6,10.6,4.4,6.6,5.4,11.1
TEXAS,2016,20599223.0,64.6,60.1,6.4,5.0,5.9,21.7,11.3,7.1,5.8,4.9,4.6,4.5,3.9,3.7,5.8,10.5,8.4,4.8,11.5,6.8,8.7
UTAH,2016,2136930.0,67.9,64.3,5.1,4.6,4.4,15.7,7.4,4.7,4.6,3.5,3.6,3.4,2.6,1.8,4.8,9.2,11.6,4.5,9.4,5.7,8.5
VERMONT,2016,520197.0,66.3,62.9,5.0,4.8,4.7,14.1,10.2,6.2,5.3,3.5,3.4,3.1,2.4,3.1,4.8,9.8,6.3,6.3,0.0,2.5,9.7
VIRGINIA,2016,6653111.0,66.2,60.7,5.9,4.8,5.5,21.0,12.1,7.2,5.5,4.6,4.1,3.6,3.2,3.3,4.9,9.9,7.9,4.6,9.0,5.9,8.4
WASHINGTON,2016,5647697.0,64.2,59.0,6.8,6.3,6.3,23.2,12.4,7.7,6.3,5.3,5.1,4.8,4.2,4.2,6.4,10.5,13.3,5.5,10.1,8.5,10.5
WEST VIRGINIA,2016,1509212.0,53.8,49.7,7.5,7.4,7.1,24.1,13.3,10.6,8.0,6.4,5.2,4.2,3.4,3.5,7.4,11.1,7.7,4.0,19.5,8.9,12.3
WISCONSIN,2016,4603725.0,66.9,63.2,5.5,4.6,5.1,14.5,9.3,6.2,5.3,4.6,4.1,3.7,3.2,3.2,4.7,15.8,10.9,5.2,5.9,8.0,11.3
WYOMING,2016,459198.0,67.7,63.9,4.9,4.5,4.5,14.9,7.7,4.9,4.8,4.2,3.9,3.3,2.8,3.8,4.6,9.1,14.5,5.5,11.4,4.6,9.6
ALABAMA,2017,3876136.0,57.6,53.0,7.4,5.8,7.0,24.0,14.6,9.4,7.9,5.7,4.8,4.2,3.4,3.4,5.8,11.9,7.9,3.9,24.4,6.1,11.8
ALASKA,2017,571453.0,70.1,62.0,7.7,5.5,7.2,22.5,13.0,8.6,6.4,5.9,6.5,5.9,5.1,3.6,5.6,9.7,19.5,3.6,11.7,7.1,12.4
ARIZONA,2017,5371341.0,59.5,55.0,7.1,5.9,6.5,22.6,11.4,7.6,6.3,5.3,5.2,5.5,4.9,4.5,6.3,9.9,16.6,5.0,8.5,8.6,11.2
ARKANSAS,2017,2351061.0,58.1,54.3,6.3,5.3,5.8,20.7,11.5,7.3,6.7,5.2,4.1,3.5,3.0,3.2,5.3,11.6,8.4,4.5,6.5,5.1,8.4
CALIFORNIA,2017,30910058.0,63.5,58.2,7.7,6.4,7.1,26.5,13.1,8.4,6.9,6.0,5.8,5.9,5.0,5.1,7.1,13.4,12.2,5.7,9.6,8.7,10.1
COLORADO,2017,4320213.0,68.2,63.9,5.2,4.6,4.8,17.6,9.2,5.3,4.8,3.8,3.9,4.1,3.8,3.3,4.9,8.6,10.2,3.7,8.0,7.2,8.7
CONNECTICUT,2017,2928091.0,66.7,61.6,7.2,5.7,6.7,22.1,12.1,8.1,7.5,5.8,5.6,5.2,4.8,4.4,6.1,12.9,13.4,5.8,25.8,11.6,12.5
DELAWARE,2017,762704.0,62.2,57.9,6.4,5.8,6.0,19.9,11.6,7.8,6.1,5.0,4.9,4.3,4.2,4.7,5.8,8.5,11.6,3.7,7.0,7.1,9.6
FLORIDA,2017,16645386.0,58.7,54.2,7.2,6.0,6.8,23.0,12.3,8.2,7.1,5.8,5.6,5.7,4.7,5.1,6.2,11.8,11.8,5.2,8.9,8.0,9.7
GEORGIA,2017,7985333.0,62.9,57.7,7.5,5.6,6.9,24.6,14.4,8.6,7.3,5.9,5.1,5.0,4.2,3.7,5.6,11.5,8.7,4.2,5.7,5.9,11.0
HAWAII,2017,1145914.0,65.1,58.6,4.9,4.8,4.6,19.8,8.7,5.2,4.9,4.4,3.4,3.6,2.6,1.8,4.8,9.8,11.4,3.0,9.3,6.2,6.1
IDAHO,2017,1271362.0,62.5,58.9,5.4,5.0,4.7,18.4,9.6,5.9,4.1,3.6,3.4,3.1,3.9,5.0,5.1,11.6,12.1,4.2,5.9,6.0,10.4
ILLINOIS,2017,10237883.0,65.3,60.4,7.4,5.4,6.8,23.6,13.0,8.0,6.6,6.0,5.5,5.5,4.1,4.1,5.7,17.2,9.8,5.4,8.4,8.2,10.8
INDIANA,2017,5216340.0,63.8,59.9,6.1,5.2,5.6,18.5,10.5,7.2,6.0,5.2,4.3,3.5,2.9,2.7,5.2,13.7,9.4,4.6,8.4,6.6,10.5
IOWA,2017,2470612.0,67.6,64.7,4.1,3.7,3.7,12.9,6.9,4.4,3.7,3.4,3.0,2.6,2.2,1.9,3.8,10.3,7.9,5.0,9.1,7.7,8.3
KANSAS,2017,2264633.0,66.7,62.7,4.8,4.0,4.3,16.0,8.2,5.0,4.4,3.6,3.5,3.2,2.5,1.6,4.2,10.0,10.6,4.3,14.1,7.0,9.3
KENTUCKY,2017,3526066.0,59.4,55.0,6.8,6.3,6.3,19.9,11.3,8.5,7.0,6.0,4.5,3.7,2.8,3.3,6.3,11.4,11.9,4.6,2.9,7.7,12.8
LOUISIANA,2017,3674007.0,60.0,55.3,7.2,5.2,6.8,23.8,13.7,9.1,7.4,5.6,4.7,4.4,2.8,2.8,5.3,11.3,8.2,4.7,19.2,5.4,11.6
MAINE,2017,1104528.0,63.1,59.6,5.3,5.1,4.8,16.3,9.4,6.8,4.9,4.3,3.9,3.8,3.5,5.5,5.1,12.2,10.1,3.9,0.0,8.2,11.0
MARYLAND,2017,4800851.0,68.1,63.3,6.1,4.6,5.7,19.9,12.0,7.4,5.9,4.8,4.4,4.2,3.8,4.0,4.7,9.2,6.5,4.3,2.6,6.2,8.1
MASSACHUSETTS,2017,5576176.0,67.3,63.2,6.0,5.1,5.5,17.7,9.9,6.4,5.2,5.0,4.7,4.5,4.2,3.7,5.4,10.4,10.1,5.6,6.9,9.9,8.1
MICHIGAN,2017,7985908.0,61.2,56.7,7.4,5.8,6.8,21.4,12.5,8.7,7.3,6.1,5.3,4.8,4.1,3.5,5.9,16.3,11.4,5.1,5.3,9.1,12.6
MINNESOTA,2017,4347413.0,69.9,66.8,4.3,3.5,3.9,12.8,7.1,4.8,4.1,3.4,3.0,3.4,2.7,2.8,3.6,11.0,13.3,5.2,6.9,7.5,9.1
MISSISSIPPI,2017,2341439.0,57.7,52.2,8.8,6.0,8.2,30.2,17.2,11.3,9.2,7.2,5.2,5.0,3.3,4.0,6.1,13.3,15.2,4.7,3.3,5.9,14.2
MISSOURI,2017,4844505.0,63.2,59.2,5.8,4.9,5.4,16.5,9.8,6.9,5.7,4.7,4.4,3.9,2.8,2.9,4.9,12.1,10.2,3.4,6.1,5.8,8.9
MONTANA,2017,828198.0,63.6,60.1,4.8,4.2,4.6,13.4,8.4,5.3,4.7,3.6,3.8,3.8,2.2,2.8,4.2,8.8,15.1,5.4,2.7,4.4,6.8
NEBRASKA,2017,1474713.0,69.9,66.9,3.8,3.0,3.3,14.0,6.9,4.2,2.7,3.2,2.6,2.3,1.8,1.4,3.3,8.7,13.7,4.4,15.5,7.1,8.4
NEVADA,2017,2292486.0,63.9,58.5,8.0,7.2,7.5,23.6,12.3,8.5,7.0,6.7,6.5,6.6,6.4,7.5,7.3,13.8,13.9,5.9,9.2,8.1,10.3
NEW HAMPSHIRE,2017,1102267.0,67.9,64.7,4.5,4.3,4.0,14.3,7.9,4.9,3.9,3.2,3.3,3.5,3.5,3.4,4.4,8.7,7.2,4.3,8.8,4.9,7.6
NEW JERSEY,2017,7197215.0,65.6,61.0,7.0,5.8,6.6,21.2,12.9,7.8,6.7,5.6,5.4,5.3,5.6,5.0,6.0,12.2,12.3,5.0,11.4,7.9,10.5
NEW MEXICO,2017,1643708.0,58.5,53.5,7.7,5.7,7.2,23.7,13.0,9.3,7.6,6.5,5.5,4.6,4.2,4.5,6.7,9.4,16.1,5.4,2.6,8.1,8.2
NEW YORK,2017,16080981.0,63.3,58.9,6.8,5.1,6.4,22.2,13.0,7.8,6.3,5.3,5.0,4.8,4.5,4.3,5.4,11.3,12.0,5.6,7.6,9.3,9.3
NORTH CAROLINA,2017,8021719.0,62.6,57.0,7.2,5.6,6.6,24.3,13.3,8.6,6.6,5.5,5.0,4.9,4.0,3.7,5.7,11.7,10.3,5.2,6.7,7.3,11.0
NORTH DAKOTA,2017,592279.0,70.6,67.6,2.7,2.2,2.4,8.6,3.8,3.4,2.5,1.7,2.3,1.8,1.7,1.2,2.2,4.8,12.4,1.8,4.5,5.1,3.4
OHIO,2017,9290812.0,63.2,59.1,6.5,5.2,5.9,19.9,11.1,7.4,6.3,5.4,4.6,4.1,3.5,3.2,5.3,14.2,12.3,4.2,8.4,9.3,12.3
OKLAHOMA,2017,3043261.0,61.4,57.4,5.7,4.8,5.3,18.3,9.9,6.5,5.4,4.8,4.1,3.5,2.7,2.4,4.8,10.5,8.4,4.3,11.8,5.4,8.4
OREGON,2017,3260075.0,62.2,57.9,6.8,6.4,6.3,21.7,11.6,8.0,6.1,5.3,5.5,5.1,4.3,4.2,6.5,12.6,12.7,5.0,7.5,8.1,11.3
PENNSYLVANIA,2017,10419971.0,62.6,58.5,6.5,5.2,6.0,20.1,12.1,7.5,6.4,5.3,4.6,4.2,4.0,3.5,5.4,13.7,15.8,5.8,6.8,12.8,12.3
RHODE ISLAND,2017,871329.0,65.2,60.4,6.8,5.8,6.3,19.6,10.7,8.2,6.8,5.8,5.0,4.8,4.2,7.1,6.1,10.9,10.1,5.3,0.0,12.5,12.2
SOUTH CAROLINA,2017,3926466.0,60.7,55.5,7.2,5.5,6.8,22.9,13.9,8.7,6.9,5.4,5.1,5.0,3.1,3.1,5.5,11.7,11.6,4.6,6.2,6.0,10.2
SOUTH DAKOTA,2017,666450.0,68.7,65.8,3.7,2.4,3.4,11.6,6.6,4.5,3.8,2.9,2.6,2.3,1.8,2.1,2.5,3.4,21.5,4.6,0.0,1.4,8.7
TENNESSEE,2017,5270257.0,61.2,56.9,6.6,5.6,6.1,19.8,11.8,8.4,6.1,5.2,4.8,4.2,3.6,3.7,5.6,11.1,6.8,4.0,8.3,6.0,10.9
TEXAS,2017,20998008.0,64.6,60.4,5.8,4.6,5.3,19.8,10.3,6.3,5.2,4.4,4.2,4.2,3.6,3.5,5.3,9.3,7.7,4.5,9.0,5.9,8.0
UTAH,2017,2179088.0,67.9,64.8,4.4,4.0,3.8,13.8,6.4,4.0,4.1,2.9,3.2,2.8,2.2,1.6,4.1,7.2,12.5,4.1,8.9,5.3,6.5
VERMONT,2017,520031.0,65.9,62.9,4.4,4.3,4.1,13.2,8.4,5.6,4.2,3.2,2.9,3.1,2.2,3.1,4.3,5.7,6.9,3.5,0.0,5.6,8.1
VIRGINIA,2017,6708391.0,66.1,60.9,5.5,4.5,5.1,18.9,11.2,6.8,5.2,4.2,3.7,3.3,3.1,2.5,4.5,9.0,7.2,4.2,6.7,5.7,7.9
WASHINGTON,2017,5734852.0,64.3,59.6,6.0,5.5,5.6,20.9,11.1,6.7,5.7,4.7,4.5,3.9,3.5,3.3,5.6,9.5,12.0,5.0,8.4,7.3,9.6
WEST VIRGINIA,2017,1503051.0,53.6,49.7,7.2,7.0,6.8,23.0,13.4,10.2,7.6,6.1,4.7,3.8,3.1,3.2,7.0,11.2,7.6,4.5,21.1,8.2,12.7
WISCONSIN,2017,4618274.0,66.9,63.7,4.7,3.9,4.4,11.9,8.1,5.5,4.5,3.9,3.5,3.2,2.7,3.0,4.0,13.5,9.9,4.4,4.5,7.2,10.0
WYOMING,2017,459782.0,67.6,63.9,4.7,4.3,4.3,13.2,7.6,4.5,4.7,4.0,3.6,3.2,3.6,5.3,4.4,7.5,14.2,6.1,9.0,4.8,8.2
