state,year,population_16_plus,in_labor_force_16_plus,employed_16_plus,unemployment_rate_total,unemployment_rate_male,unemployment_rate_female,unemployment_rate_age_16_19,unemployment_rate_age_20_24,unemployment_rate_age_25_44,unemployment_rate_age_45_54,unemployment_rate_age_55_64,unemployment_rate_age_65_74,unemployment_rate_age_75_plus,unemployment_rate_white,unemployment_rate_black,unemployment_rate_native_american,unemployment_rate_asian,unemployment_rate_pacific_islander,unemployment_rate_other_race,unemployment_rate_two_or_more_races,unemployment_rate_hispanic,unemployment_rate_white_non_hispanic
OHIO,2011,9110226.0,64.6,58.5,9.3,9.3,7.6,26.9,15.2,8.6,6.9,6.3,5.1,4.1,8.1,18.2,13.8,5.1,9.5,11.5,18.3,12.1,8.0
OKLAHOMA,2011,2897182.0,63.0,58.2,6.5,5.9,5.9,19.7,10.4,6.0,4.6,3.9,3.3,2.0,5.5,11.8,9.8,4.3,11.4,7.0,10.1,6.8,5.4
OREGON,2011,3039160.0,64.1,57.7,9.8,10.0,8.1,26.7,15.4,9.0,7.8,7.5,8.0,5.4,9.5,16.6,13.9,7.3,15.6,11.5,14.1,10.9,9.5
PENNSYLVANIA,2011,10209810.0,63.2,58.2,7.9,7.7,6.6,23.3,14.3,7.2,5.7,5.3,5.6,5.2,6.8,15.9,14.1,6.6,15.3,15.8,14.8,14.1,6.6
RHODE ISLAND,2011,855960.0,66.3,60.0,8.9,9.0,7.2,25.0,14.1,7.4,7.2,7.1,6.4,6.3,7.8,13.3,22.9,8.8,41.1,17.1,18.2,16.4,7.5
SOUTH CAROLINA,2011,3624311.0,62.4,55.2,10.2,9.5,9.5,27.6,17.1,9.6,7.7,6.8,7.1,6.0,8.0,16.1,16.9,6.4,8.4,9.7,15.0,11.0,7.8
SOUTH DAKOTA,2011,630184.0,69.5,65.6,4.8,4.7,3.9,15.4,8.3,4.5,3.2,2.7,1.7,1.2,3.1,15.4,25.8,10.9,5.7,8.9,10.9,9.5,3.1
TENNESSEE,2011,4978954.0,62.7,56.6,9.2,8.7,8.4,25.7,15.8,8.6,7.1,5.9,5.7,5.8,8.0,15.4,10.3,5.5,12.1,9.5,14.1,9.2,8.0
TEXAS,2011,18747892.0,65.5,60.2,7.3,6.5,6.7,23.4,12.4,6.4,5.1,5.2,4.9,4.2,6.4,12.1,10.1,6.0,9.1,8.4,10.2,8.2,5.6
UTAH,2011,1948759.0,69.1,64.2,6.5,6.0,5.4,18.1,8.8,5.5,4.7,4.6,3.9,6.2,6.1,12.5,14.1,5.5,14.1,10.3,11.2,9.6,5.8
