state,year,population,violent_crime,murder,rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,violent_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
NEW HAMPSHIRE,2010,1316470.0,2198,13.0,412.0,451.0,1322.0,28782,5441.0,22373.0,968.0,166.96164743594613,0.9874892705492719,31.2958138051,34.258281616747816,100.42006274354902,2186.301244996088,413.30224008142983,1699.469034615297,73.52997029936117
NEW JERSEY,2010,8791894.0,27055,371.0,981.0,11818.0,13885.0,183042,38732.0,128754.0,15556.0,307.72664001636053,4.21979609854259,11.158005317170566,134.4192730258122,157.92956557483518,2081.940478354266,440.54216304245705,1464.4626061233223,176.93570918848658
NEW MEXICO,2010,2059179.0,12126,142.0,958.0,1614.0,9412.0,70742,21014.0,44481.0,5247.0,588.8754693011147,6.895952221734973,46.52339597480355,78.38075271746652,457.0753683871096,3435.4468455632073,1020.5038027291458,2160.1327519365727,254.81029089748876
NEW YORK,2010,19378102.0,75977,866.0,2771.0,28473.0,43867.0,376161,64973.0,290755.0,20433.0,392.0765821131502,4.468961924134779,14.299646064408167,146.93389476430664,226.3740793603006,1941.1653421991484,335.29083498476786,1500.4307439397314,105.44376327464887
NORTH CAROLINA,2010,9535483.0,34653,476.0,2013.0,9610.0,22554.0,328719,102690.0,207719.0,18310.0,363.41106161061794,4.99188137611907,21.110624391024558,100.78147063971484,236.52708520375947,3447.324063185892,1076.9249968774525,2178.379427659826,192.0196386486138
NORTH DAKOTA,2010,672591.0,1513,10.0,237.0,90.0,1176.0,11895,1966.0,9070.0,859.0,224.9509731768638,1.4867876614465552,35.23686757628336,13.381088953018997,174.84622898611488,1768.5339232906774,292.30245424039276,1348.5164089320256,127.71506011825907
OHIO,2010,11536504.0,36366,476.0,3699.0,16479.0,15712.0,374381,106521.0,246742.0,21118.0,315.225479053273,4.126033328640982,32.063439669418045,142.8422336610814,136.19377239413257,3245.1858899368476,923.3386474793404,2138.7935201166665,183.05372234084086
OKLAHOMA,2010,3751351.0,17987,195.0,1450.0,3337.0,13005.0,128126,37476.0,80460.0,10190.0,479.48059245855694,5.19812728800904,38.65274137237491,88.95461928249317,346.67510451567983,3415.4628559151092,999.0000935662912,2144.8272902215763,271.6354721272416
OREGON,2010,3831074.0,9655,91.0,1214.0,2390.0,5960.0,115428,19637.0,86879.0,8912.0,252.01810249554043,2.375313032324617,31.688241991671266,62.3845950247894,155.56995244675514,3012.9410186281966,512.5716705028407,2267.745285003631,232.62406312172516
PENNSYLVANIA,2010,12702379.0,46514,657.0,3415.0,16362.0,26080.0,276023,55171.0,204183.0,16669.0,366.1833739963199,5.172259464152345,26.884727656134334,128.810516518205,205.31587035782823,2173.0023958504153,434.33596179109446,1607.4390474414279,131.2273866178926
RHODE ISLAND,2010,1052567.0,2701,29.0,296.0,780.0,1596.0,26910,6121.0,18390.0,2399.0,256.6107430690873,2.7551690296199673,28.121725267845186,74.10454631391636,151.6293024577058,2556.6068478301145,581.5306769070282,1747.1571880934896,227.91898282959662
SOUTH CAROLINA,2010,4625364.0,27648,280.0,1466.0,4982.0,20920.0,180407,46156.0,121054.0,13197.0,597.7475502468562,6.0535776211342505,31.694802830652893,107.7104418160387,452.28872797903045,3900.3849210570233,997.8890310038302,2617.1778048170913,285.3180852361025
SOUTH DAKOTA,2010,814180.0,2186,23.0,390.0,154.0,1619.0,15082,3181.0,11106.0,795.0,268.49099707681347,2.8249281485666558,47.900955562651994,18.91473629909848,198.85037706649638,1852.4159276818393,390.6998452430667,1364.0718268687515,97.64425557002137
TENNESSEE,2010,6346105.0,38921,357.0,2138.0,8366.0,28060.0,232132,64235.0,153062.0,14835.0,613.3053266531202,5.625497844740987,33.68995628026955,131.828893470877,442.16097905723274,3657.865730239257,1012.1956696272753,2411.904624962871,233.76543564911077
TEXAS,2010,25145561.0,113231,1249.0,7622.0,32843.0,71517.0,951246,228597.0,654626.0,68023.0,450.3021427917237,4.967079477765479,30.311513034050023,130.61152224840004,284.4120280315082,3782.9579542886313,909.0948497828305,2603.34617310785,270.51693139795134
UTAH,2010,2763885.0,5879,53.0,948.0,1268.0,3610.0,87880,15017.0,66914.0,5949.0,212.70783697585105,1.9175906378159726,34.29954574810457,45.877451485861386,130.6132491040691,3179.582363231466,543.3294076996691,2421.0124516758115,215.24050385598534
VERMONT,2010,625741.0,815,7.0,132.0,74.0,602.0,14281,3366.0,10474.0,441.0,130.24558083935685,1.1186737004607339,21.094989780116695,11.825979119156328,96.20593823962311,2282.254159468534,537.9222393929757,1673.855476946532,70.47644312902622
VIRGINIA,2010,8001024.0,17087,369.0,1532.0,5657.0,9529.0,186196,30629.0,145019.0,10548.0,213.56016429896974,4.611909675561528,19.147549113713445,70.70344995840532,119.09725555128944,2327.1521245280605,382.8134998720164,1812.5054992960902,131.83312535995393
WASHINGTON,2010,6724540.0,21101,152.0,2562.0,5929.0,12458.0,249253,55164.0,168360.0,25729.0,313.7909804982943,2.260377661520342,38.09926032115208,88.16959970496123,185.26174281066065,3706.6178504403274,820.3386402638694,2503.665678247137,382.61353192932154
WEST VIRGINIA,2010,1852994.0,5830,62.0,354.0,828.0,4586.0,41500,10756.0,28383.0,2361.0,314.6259512982773,3.3459363602904273,19.104217282948568,44.68444042452377,247.49135723051452,2239.618692775044,580.4659917949006,1531.7372857116645,127.41541526847901
WISCONSIN,2010,5686986.0,14142,155.0,1187.0,4504.0,8296.0,142612,26566.0,107908.0,8138.0,248.67302293341322,2.7255210404949124,20.87221596817717,79.19836623476829,145.87691968997288,2507.690365335874,467.1367223341151,1897.4549963724194,143.09864662933933
